Авиамоторная;55.75208,37.71677
Автозаводская;55.70801,37.65858
Академическая;55.68808,37.57501
Александровский сад;55.75219,37.60836
Алексеевская;55.80737,37.63844
Алтуфьево;55.89504,37.58605
Аннино;55.581818,37.594978
Арбатская;55.75228,37.60357
Аэропорт;55.79981,37.53412
Бабушкинская;55.86814,37.66292
Багратионовская;55.74326,37.49753
Баррикадная;55.76027,37.58111
Бауманская;55.77228,37.67857
Беговая;55.77378,37.54412
Белорусская;55.77492,37.58207
Беляево;55.64371,37.52762
Белокаменная;55.829375,37.702310
Бибирево;55.88294,37.60523
Библиотека им.Ленина;55.75211,37.60988
Битцевский парк;55.60029,37.55735
Боровицкая;55.75034,37.60857
Ботанический сад;55.84649,37.63914
Братеево;55.631363,37.75174
Братиславская;55.66126,37.7509
Бульвар Дмитрия Донского;55.567759,37.575724
ВДНХ;55.82177,37.64107
Варшавская;55.65381,37.62084
Владыкино;55.84669,37.59251
Водный стадион;55.8386,37.48749
Войковская;55.81811,37.49905
Волгоградский проспект;55.7243,37.68795
Волжская;55.69101,37.75498
Волоколамская;55.83459,37.38367
Воробьёвы горы;55.710454,37.558601
Выхино;55.715,37.81802
Динамо;55.78867,37.55936
Дмитровская;55.80756,37.57959
Добрынинская;55.72886,37.62356
Домодедовская;55.61009,37.71612
Достоевская;55.782438,37.612747
Дубровка;55.719732,37.676915
Измайловская;55.78768,37.78329
Калужская;55.65566,37.53923
Кантемировская;55.6343,37.65632
Каховская;55.65332,37.59722
Каширская;55.65412,37.64738
Киевская;55.74388,37.56673
Китай город;55.753903,37.635405
Китай-город;55.75634,37.63002
Кожуховская;55.70533,37.68508
Коломенское;55.67745,37.66298
Комсомольская;55.77717,37.655689
Коньково;55.63253,37.52005
Красногвардейская;55.614491,37.744724
Краснопресненская;55.760109,37.577141
Красносельская;55.780763,37.666264
Красные ворота;55.76958,37.6499
Крестьянская застава;55.732877,37.668998
Кропоткинская;55.74525,37.60463
Крылатское;55.75879,37.40633
Кузнецкий мост;55.76118,37.62386
Кузьминки;55.70531,37.76775
Кунцевская;55.73045,37.44646
Курская;55.75848,37.65985
Кутузовская;55.73947,37.53433
Ленинский проспект;55.70818,37.58742
Лубянка;55.75876,37.62573
Люблино;55.67694,37.76316
Марксистская;55.7407,37.65773
