Апрелевка;55.55,37.08 
Балашиха;55.81,37.96
Белоозёрский ;55.45,38.44
Бронницы;55.42,38.26
Верея;55.34,36.17
Видное;55.55,37.71
Волоколамск;56.02,35.58
Воскресенск;55.32,38.65
Высоковск;56.31,36.55
Голицыно;55.60,36.98
Дедовск;55.86,37.12
Дзержинский;55.62,37.85
Дмитров;56.34,37.52
Долгопрудный;55.95,37.5
Домодедово;55.44,37.75
Дрезна;55.44,38,50
Дубна;56.73,37.17
Егорьевск;55.38,39.03
Железнодорожный;55.74,38.02
Жуковский;55.6,38.12
Зарайск;54.76,38.87
Звенигород;55.73,36.85
Ивантеевка;55.97,37.92
Истра;55.55,36.52
Кашира;54.84,38.16
Климовск;55.36,37.53
Клин;56.33,36.73
Коломна;55.08,38.78
Королёв;55.91,37.83
Котельники;55.63,37.84
Красноармейск;56.10,38.13
Красногорск;55.82,37.33
Краснозаводск;56.45,38.21
Краснознаменск;55.35,37.02 
Кубинка;55.57,36.70
Куровское;55.58,38.91
Ликино-Дулёво;55.70,38.96
Лобня;56.01,37.48
Лосино-Петровский;55.86,38.20
Луховицы;54.97,39.04
Лыткарино;55.58,37.91
Люберцы;55.68,37.89
Можайск;55.50,36.02
Мытищи;55.91,37.73
Наро-Фоминск;55.39,36.73
Ногинск;55.87,38.44
Одинцово;55.68,37.28
Озёры;54.85,38.55
Орехово-Зуево;55.81,38.96
Павловский Посад;55.78,38.65
Пересвет;56.42,38.17
Подольск;55.42,37.55
Протвино;54.52, 37.12
Пушкино;56.02,37.87
Пущино;54.83,37.61
Раменское;55.57,38.23
Реутов;55.76,37.86
Рошаль;55.66,39.87
Руза;55.41,36.11
Сергиев Посад;56.3,38.13
Серпухов;54.92,37.41
Солнечногорск;56.18,36.98
Старая Купавна;55.80,38.18
Ступино;54.9,38.07
Талдом;56.73,37.53
Фрязево;55.73,38.46
Фрязино;55.96,38.05
Химки;55.9,37.43
Хотьково;56.25,37.99
Черноголовка;56.0,38.36
Чехов;55.15,37.48
Щёлково;55.93,37.97
Шатура;55.57,39.53
Электрогорск;55.88,38.78
Электросталь;55.79,38.45
Электроугли;55.72,38.20
Яхрома;56.30,37.48

